A1_kN,A2_kN,A3_kN,D1_m,D2_m
42.1,77.5,65.3,5.1,1.4
48.7,80.1,50.2,5.4,1.2
51.7,90.2,61.6,5.2,1.2
41.2,75.7,58.6,5.4,1.2
25.0,48.4,33.5,5.6,1.2
27.3,52.8,37.2,5.1,1.3
74.0,103.7,78.0,5.3,1.2
64.8,96.9,76.2,5.2,1.2
46.3,103.4,64.6,5.6,1.4
37.7,52.5,43.4,4.9,1.3
65.7,93.6,66.4,5.2,1.3
50.7,65.9,63.8,4.8,1.2
37.0,59.5,46.2,4.9,1.2
61.3,99.8,80.6,5.3,1.2
26.3,46.3,33.3,5.2,1.2
24.9,39.3,27.2,5.9,1.2
49.6,104.1,103.0,4.8,1.3
23.9,52.8,36.6,5.3,1.4
27.5,42.5,28.5,4.8,1.2
67.0,103.1,83.5,5.2,1.2
36.8,57.5,47.8,5.1,1.4
24.9,63.2,28.5,5.3,1.3
33.2,68.8,43.7,5.7,1.4
57.7,97.7,85.1,5.4,1.3
46.5,74.2,71.4,5.2,1.2
54.4,97.6,77.8,5.1,1.3
68.3,122.0,79.6,5.2,1.2
19.6,41.1,23.0,5.6,1.2
38.8,71.4,48.8,5.8,1.2
66.1,89.2,66.6,4.8,1.2
24.3,56.3,27.4,5.3,1.2
48.8,93.1,81.7,4.7,1.3
55.1,96.0,82.8,4.8,1.2
49.5,82.3,62.0,5.3,1.2
21.2,68.9,57.4,5.2,1.2
52.8,79.3,54.3,5.0,1.2
49.8,102.4,82.2,5.2,1.2
39.7,97.6,84.8,5.3,1.2
69.8,101.2,73.3,5.5,1.2
36.7,86.1,49.5,5.6,1.3
56.9,96.8,78.4,5.2,1.2
50.1,112.7,89.1,4.8,1.2
27.0,41.5,29.2,4.8,1.2
40.5,112.7,91.9,4.8,1.3
70.9,98.7,72.5,5.3,1.3
36.0,46.2,36.9,5.7,1.2
26.9,56.3,38.8,5.2,1.2
55.1,77.4,62.7,5.3,1.2
62.5,117.7,107.2,4.8,1.2
44.4,82.0,57.5,5.2,1.3
56.8,85.0,63.8,5.2,1.2
28.5,39.3,31.5,4.8,1.3
57.7,102.1,81.7,4.8,1.3
49.2,90.0,65.8,5.3,1.2
39.0,66.1,49.0,5.2,1.2
46.3,70.7,60.3,5.1,1.3
22.8,40.6,25.5,5.2,1.2
48.1,70.6,55.4,5.4,1.4
20.8,42.6,32.1,4.8,1.3
54.3,66.8,55.8,5.3,1.4
42.9,78.9,57.0,4.8,1.4
64.9,96.8,75.6,5.2,1.2
49.0,97.4,78.8,5.1,1.3
26.8,55.0,36.5,5.7,1.4
48.9,68.5,60.4,5.4,1.4
30.7,52.4,44.1,5.9,1.2
38.1,69.3,52.3,4.9,1.3
60.0,72.4,68.5,5.2,1.2
64.8,79.2,65.4,5.4,1.2
60.5,115.7,72.4,5.6,1.4
37.3,69.4,47.6,5.3,1.2
63.3,96.4,78.6,5.3,1.4
65.4,103.6,73.1,5.7,1.2
60.6,81.0,74.4,5.2,1.2
40.6,66.3,49.7,5.2,1.2
67.3,104.6,89.8,5.4,1.3
68.5,91.3,77.9,4.8,1.4
57.9,106.0,85.5,5.5,1.3
65.1,101.8,79.9,5.2,1.2
20.1,43.9,29.0,6.0,1.3
28.8,52.2,36.6,5.7,1.2
20.8,46.9,28.1,5.5,1.4
58.2,69.0,60.8,5.4,1.4
59.0,104.3,82.7,5.3,1.2
40.8,73.2,55.5,5.3,1.2
56.5,91.6,84.1,4.8,1.2
49.1,77.8,61.3,5.3,1.2
63.9,92.7,87.0,5.4,1.4
61.3,95.8,79.0,5.1,1.4
23.0,42.5,31.5,5.1,1.2
56.0,88.0,67.4,5.1,1.2
49.9,74.4,53.4,5.2,1.2
52.3,77.3,58.3,5.2,1.2
57.6,111.3,84.6,4.8,1.2
64.8,91.9,72.6,4.8,1.4
20.2,38.1,27.9,4.8,1.4
55.4,82.0,74.6,5.2,1.2
44.7,87.6,59.3,4.8,1.3
37.9,65.0,44.9,4.8,1.2
52.2,106.5,76.3,5.0,1.3
